date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:07	4305/4305	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/sticky-footer-navbar/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/sticky-footer-navbar/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:07	61060/61060	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/screenshots/non-responsive.jpg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/screenshots/non-responsive.jpg	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:07	5841/5841	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/non-responsive/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/non-responsive/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:07	7339/7339	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/offcanvas/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/offcanvas/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:08	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Jun%202018%2008:39:08%20GMT	https://getbootstrap.com/docs/3.3/migration	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/migration	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:09	18319/18319	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	http://getbootstrap.com/docs/3.3/migration/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/migration/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:09	112527/112527	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/screenshots/offcanvas.jpg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/screenshots/offcanvas.jpg	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:09	27419/27419	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/browser-bugs/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/browser-bugs/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:09	97163/97163	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/assets/js/vendor/jquery.min.js	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/assets/js/vendor/jquery.min.js	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:10	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Jun%202018%2008:39:10%20GMT	https://getbootstrap.com/docs/3.3/components	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/components	(from https://getbootstrap.com/docs/3.3/css/)
